,Phase,Phase #,Date,Day,Plot,Distance,# Evaluators,Start Time,End Time,Encounter time,Long E,Lat (N),Height,Zone,Family,Genus,Species,Location (m),Location Type,Behavior,Mass,Body Length,Tail Length,Photo Code,Hyssop Code,Capture Code,Additional Obs
231,RI,4,17/07/2015,4,9,1000,3,19:06:00,19:46:00,19:09:00,281629,8563625,758,19 L,Craugastoridae,Pristimantis,danae,0.3,Hoja,Activo,1.38,24.5,,,4Bd062,,
232,DR,3,2/6/15 00:00,7,28,500,5,19:06:00,19:30:00,19:11:00,281903,8562923,928,19 L,Craugastoridae,Pristimantis,danae,0.15,Hoja,Atento,0.78,20.2,-,no,3Bd151,no,Nublado con truenos
233,RI,4,15/07/2015,2,2,1000,3,19:10:00,19:50:00,19:25:00,281412.6288,8563169.735,839.771484,19 L,Bufonidae,Rhinella,tacana,2,Hoja,Alerta,1.39,26.1,,,4Bd031,,
234,EC,1,21/06/2014,4,37,250,3,19:10:00,19:50:00,19:46:00,-71.00971299,-12.99317803,970.018616,19 L,Bufonidae,Rhinella,tacana,1,En hoja,Atento,1.2,25.02,,,Bd045,No colectado,"Macho, a 3m del GPS 53 "
235,EC,1,21/06/2014,4,37,250,3,19:10:00,19:50:00,19:28:00,-71.00973504,-12.99311299,969.755981,19 L,Craugastoridae,Pristimantis,aff pharangobates,0,En hojarasca,Saltando,0.88,22.26,,,Bd047,No colectado,En hoja seca de Cecropia 
236,EC,1,21/06/2014,4,37,250,3,19:10:00,19:50:00,19:30:00,-71.00966396,-12.99317501,972.892273,19 L,Bufonidae,Rhinella,tacana,0.4,En hoja,Activo,0.39,18.42,,,Bd043,No colectado,
237,EC,1,21/06/2014,4,37,250,3,19:10:00,19:50:00,19:24:00,-71.00971299,-12.99317803,970.018616,19 L,Craugastoridae,Pristimantis,sp inglenaranja,0.25,En hoja,Activo,0.13,11.71,,,Bd046,No colectado,"Sobre hoja de planta de 1,5m"
238,EC,1,21/06/2014,4,37,250,3,19:10:00,19:50:00,19:35:00,-71.00966396,-12.99317501,972.892273,19 L,Craugastoridae,Pristimantis,gagliardi,0.5,En hoja,Atento,0.09,10.32,,,Bd044,No colectado,A 1m del punto GPS
239,EC,1,21/06/2014,4,37,250,3,19:10:00,19:50:00,19:16:00,-71.00973504,-12.99311299,969.755981,19 L,Craugastoridae,Pristimantis,gagliardi,0.1,En tallo doblado,Saltando,,,,,,No colectado,"Se escapo, estaba cerca al punto GPS."
240,RI,4,18/07/2015,5,38,250,4,19:11:00,19:41:00,19:30:00,-,-,-,-,Hylidae,Hypsiboas,sp nov,1.2,Hoja,Alerta,5.68,40.9,,,4Bd072,,
241,RI,4,18/07/2015,5,38,250,4,19:11:00,19:41:00,19:13:00,282027,8562673,968,19 L,Craugastoridae,Pristimantis,danae,0.8,Rama,Activo,1.83,26.2,,,4Bd070,,
242,RI,4,18/07/2015,5,38,250,4,19:11:00,19:41:00,19:20:00,-,-,-,-,Craugastoridae,Pristimantis,danae,1.5,Hoja,Alerta,1.5,25.9,,,4Bd071,,
243,LC,2,10/3/14 00:00,8,39,250,3,19:13:00,19:53:00,19:37:00,8562799,282031,988,19L,Craugastoridae,Pristimantis,sp inglenaranja,120,sobre hoja,alerta,na,na,0,no tiene fotos,no,no,se escapo
244,LC,2,10/3/14 00:00,8,39,250,,19:13:00,19:53:00,19:30:00,8562777,282019,989,19L,Craugastoridae,Pristimantis,sp inglenaranja,90,sobre hoja,alerta,0.37,15.6,0,camara juancarlos,2Bd099,154388,
245,DR,3,2/5/15 00:00,6,3,1000,4,19:14:00,19:44:00,19:17:00,281467,8563208,837,19 L,Craugastoridae,Pristimantis,gagliardi,0.2,Hoja,Alerta,0.23,13,-,NO,3Bd110,no,
246,DR,3,2/5/15 00:00,6,3,1000,4,19:14:00,19:44:00,19:32:00,281434,8563221,1073,19 L,Craugastoridae,Pristimantis,gagliardi,0.2,Hoja,Atento,0.14,11.4,-,no,3Bd112,no,
247,DR,3,2/5/15 00:00,6,3,1000,4,19:14:00,19:44:00,19:21:00,281409,8563221,1072,19 L,Bufonidae,Rhinella,tacana,1.4,Hoja,Alerta,0.1,10.4,-,no,3Bd113,no,
248,DR,3,2/5/15 00:00,6,3,1000,4,19:14:00,19:44:00,19:20:00,281418,8563214,1071,19 L,Craugastoridae,Pristimantis,ockendeni,0.3,Hoja,Activo,0.07,8.7,-,no,3Bd111,no,
249,DR,3,2/5/15 00:00,6,3,1000,4,19:14:00,19:44:00,19:43:00,281445,8563222,1074,19 L,Craugastoridae,Pristimantis,gagliardi,0.2,Hoja,Atento,0.04,7.1,-,no,3Bd114,no,
250,LC,2,10/6/14 00:00,11,33,500,4,19:15:00,19:45:00,19:35:00,-,-,-,-,Bufonidae,Rhinella,tacana,50,sobre hoja,cantando,1.41,24.5,0,no tiene fotos,2Bd137,no,
251,LC,2,10/6/14 00:00,11,33,500,,19:15:00,19:45:00,19:20:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,ockendeni,150,sobre hoja,alerta,0.31,16.9,0,no tiene fotos,2Bd138,no,
252,RI,4,23/07/2015,10,7,1000,5,19:15:00,19:39:00,20:30:00,-,-,-,-,Bufonidae,Rhinella,gr margaritifera,0.3,Hoja,Activo,10.85,48,,,4Bd146,,
253,RI,4,23/07/2015,10,7,1000,5,19:15:00,19:39:00,20:30:00,-,-,-,-,Bufonidae,Rhinella,gr margaritifera,0.3,Hoja,Activo,9.7,46.4,,,4Bd145,,
254,RI,4,23/07/2015,10,7,1000,5,19:15:00,19:39:00,20:35:00,281554,8563446,801,,Bufonidae,Rhinella,gr margaritifera,0.7,Hoja,Activo,8,44.1,,,4Bd149,,
255,RI,4,23/07/2015,10,7,1000,5,19:15:00,19:39:00,20:32:00,281541,8563443,816,,Bufonidae,Rhinella,gr margaritifera,0.2,Hoja,Alerta,7.6,41.4,,,4Bd144,,
256,RI,4,23/07/2015,10,7,1000,5,19:15:00,19:39:00,20:35:00,281554,8563446,801,,Bufonidae,Rhinella,gr margaritifera,1,Hoja,Activo,7.4,41.2,,,4Bd148,,
257,RI,4,23/07/2015,10,7,1000,5,19:15:00,19:39:00,20:35:00,281554,8563446,801,,Bufonidae,Rhinella,gr margaritifera,0,Suelo,Activo,7,41,,,4Bd147,,
258,RI,4,23/07/2015,10,7,1000,5,19:15:00,19:39:00,20:35:00,281554,8563446,801,19 L,Bufonidae,Rhinella,gr margaritifera,0.5,Hoja,Activo,6.75,39,,,4Bd150,154495,Canto Grabado
259,LC,2,30/09/2014,5,57,150,,19:15:00,17:55:00,19:35:00,8562958,282329,976,19L,Bufonidae,Rhinella,tacana,40,sobre hoja ,atento,2.3,31.7,0,no tiene fotos,2Bd075,no,
260,LC,2,30/09/2014,5,57,150,,19:15:00,17:55:00,19:28:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,danae,150,sobre hoja,cantando,1.4,24,,no tiene fotos,2Bd078,no,
261,LC,2,30/09/2014,5,57,150,3,19:15:00,17:55:00,19:20:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,danae,50,sobre hoja ,contacto,1.4,27.9,0,no tiene fotos,2Bd074,no,
262,LC,2,30/09/2014,5,57,150,,19:15:00,17:55:00,19:42:00,desconocido,desconocido,desconocido,19L,Plethodontidae,Bolitoglossa,cf altamazonica,15,sobre hoja,activo,1.2,33.6,"0,66",falta el codigo,2Bd077,154379,
263,LC,2,30/09/2014,5,57,150,,19:15:00,17:55:00,19:44:00,8562956,282327,978,19L,Bufonidae,Rhinella,tacana,40,sobre rama,alerta,0.4,16.4,0,no tiene fotos,2Bd076,no,
264,AB,5,12/7/16 00:00,5,5,1000,6,19:16:00,19:36:00,19:29:00,281488,8563338,823,19L,Plethodontidae,Bolitoglossa,cf altamazonica,0,Suelo,Activo,1.75,43.3,"31,1",4685-4695,5Bd069,,
265,AB,5,12/7/16 00:00,5,5,1000,6,19:16:00,19:36:00,19:23:00,281490,8563335,822,19L,Craugastoridae,Pristimantis,ockendeni,1,Hoja,Atento,1.35,26.1,,4772-4802,5Bd067,22277,
266,AB,5,12/7/16 00:00,5,5,1000,6,19:16:00,19:36:00,19:32:00,281481,8563353,826,19L,Leptodactylidae,Adenomera,andreae,0,Suelo,Activo,0.79,20.1,,,5Bd068,,GPS aproximado
267,RI,4,22/07/2015,9,40,250,3,19:24:00,20:04:00,19:57:00,282061,8562838,960,,Bufonidae,Rhinella,tacana,0.3,Hoja,Alerta,3.25,32,,,4Bd127,,
268,RI,4,22/07/2015,9,40,250,3,19:24:00,20:04:00,19:43:00,282050,8562827,962,,Bufonidae,Rhinella,tacana,0.9,Bambu,Cantando,1.9,29,,,4Bd126,,
269,RI,4,22/07/2015,9,40,250,3,19:24:00,20:04:00,19:29:00,282061,8562816,963,,Craugastoridae,Pristimantis,danae,0.6,Hoja,Alerta,1.75,27,,,4Bd128,,
270,RI,4,14/07/2015,1,26,500,4,19:25:00,19:55:00,17:36:00,281789.9843,8562860.781,934.572083,19 L,Craugastoridae,Pristimantis,danae,2,Hoja,Cantando,1.63,25.9,,,4Bd007,154471,
271,RI,4,14/07/2015,1,26,500,4,19:25:00,19:55:00,17:41:00,-,-,-,-,Craugastoridae,Pristimantis,ockendeni,1,Hoja,Alerta,0.75,22.4,,,4Bd006,,
272,RI,4,21/07/2015,8,50,150,5,19:29:00,19:53:00,19:45:00,282137,8562600,1000,,Bufonidae,Rhinella,gr margaritifera,0.2,Hoja,Alerta,5.15,40.5,,,4Bd110,,
273,RI,4,21/07/2015,8,50,150,5,19:29:00,19:53:00,19:50:00,-,-,-,-,Craugastoridae,Pristimantis,danae,1.5,Hoja,Alerta,1.15,23.5,,,4Bd106,,
274,RI,4,21/07/2015,8,50,150,5,19:29:00,19:53:00,19:40:00,282137,8562613,998,,Bufonidae,Rhinella,tacana,0.3,Hoja,Alerta,1,21.7,,,4Bd107,,
275,RI,4,21/07/2015,8,50,150,5,19:29:00,19:53:00,19:30:00,282137,8562600,1000,,Craugastoridae,Noblella,sp,0,Hojarasca,Activo,0.3,10.9,,,4Bd109,,
276,RI,4,21/07/2015,8,50,150,5,19:29:00,19:53:00,19:52:00,282140,8562626,1000,19 L,Craugastoridae,Pristimantis,gagliardi,0.1,Hoja,Alerta,0.25,12.7,,,4Bd108,,
277,AB,5,14/7/2016,6,49,150,5,19:32:00,19:56:00,19:34:00,282144,8562511,1033,19L,Leptodactylidae,Adenomera,andreae,0,Suelo,Saltando,0.69,18.4,,,5Bd082,,GPS aproximado
278,AB,5,14/7/2016,6,49,150,5,19:32:00,19:56:00,19:43:00,282165,8562512,969,19L,Bufonidae,Rhinella,tacana,0.3,Hoja,Activo,0.52,17.9,,,5Bd085,,
279,AB,5,14/7/2016,6,49,150,5,19:32:00,19:56:00,19:53:00,282150,8562531,1015,19L,Craugastoridae,Noblella,sp,0,Suelo,Saltando,0.17,11.3,,,5Bd083,,
280,AB,5,14/7/2016,6,49,150,5,19:32:00,19:56:00,19:53:00,282150,8562531,1015,19L,Craugastoridae,Noblella,sp,0,Suelo,Saltando,0.1,9.3,,,5Bd084,,
281,EC,1,22/06/2014,5,30,500,3,19:33:00,20:13:00,19:33:00,-71.01059896,-12.99063203,918.424927,19 L,Bufonidae,Rhinella,tacana,0.5,En hoja ,Atento,3.02,31.92,,,Bd072,No colectado,
282,EC,1,22/06/2014,5,30,500,3,19:33:00,20:13:00,19:37:00,-71.01065403,-12.99065902,918.278625,19 L,Leptodactylidae,Adenomera,andreae,0,En hojarasca,Saltando,1.04,24.08,,,Bd073,No colectado,
283,EC,1,22/06/2014,5,30,500,3,19:33:00,20:13:00,20:02:00,-71.01052604,-12.99059599,920.704956,19 L,Craugastoridae,Pristimantis,gagliardi,0.15,En hoja ,Saltando,0.48,17.81,,,Bd070,No colectado,
284,EC,1,22/06/2014,5,30,500,3,19:33:00,20:13:00,20:12:00,-71.01045999,-12.99055198,921.067871,19 L,Craugastoridae,Noblella,sp,0.1,En hoja ,Saltando,0.1,10.02,,,Bd071,No colectado,Con foto
285,EC,1,19/06/2014,2,31,500,3,19:35:00,20:15:00,19:37:00,-71.01034398,-12.98978202,914.918396,19 L,Leptodactylidae,Adenomera,andreae,0,En el suelo,Saltando,0.85,21.13,,,Bd018,No colectado,
286,AB,5,8/7/16 00:00,1,37,250,4,19:36:00,20:06:00,20:03:00,282012,8562645,982,19L,Craugastoridae,Noblella,sp,0,Suelo,Saltando,>0.02,7.1,,,5Bd002,,
287,AB,5,8/7/16 00:00,1,37,250,4,19:36:00,20:06:00,20:03:00,282006,8562622,906,19L,Bufonidae,Rhinella,gr margaritifera,0.5,Hoja,Alerta,4.28,39,,,5Bd001,,
288,LC,2,10/7/14 00:00,12,8,1000,4,19:36:00,20:06:00,19:43:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,gagliardi,0,en hojarasca,saltando,0.23,13.5,0,no tiene fotos,2Bd158,no,
289,DR,3,2/1/15 00:00,2,26,500,4,19:37:00,20:07:00,19:43:00,281790,8562874,1026,19 L,Craugastoridae,Pristimantis,aff altamazonica,0.15,Hoja,Atento,0.14,11,-,107-5015/107-5025,3Bd011,no,Despejado con presencia de luna llena
290,DR,3,2/3/15 00:00,4,41,250,4,19:40:00,20:10:00,19:54:00,-,-,-,-,Bufonidae,Rhinella,tacana,0.8,Hoja,Activo,2.15,28.9,-,no,3Bd051,no,Una hora de lluvia moderada 16:30 - 17:50
291,DR,3,2/3/15 00:00,4,41,250,4,19:40:00,20:10:00,20:02:00,282080,8562867,1041,19 L,Bufonidae,Rhinella,tacana,0.3,Hoja,Alerta,1.53,25.5,-,no,3Bd050,no,Una hora de lluvia moderada 16:30 - 17:50
292,DR,3,2/3/15 00:00,4,41,250,4,19:40:00,20:10:00,19:51:00,282059,8562873,957,19 L,Craugastoridae,Pristimantis,ockendeni,0.5,Hoja,Alerta,0.97,21.7,-,no,3Bd053,no,Una hora de lluvia moderada 16:30 - 17:50
293,DR,3,2/3/15 00:00,4,41,250,4,19:40:00,20:10:00,19:42:00,282075,8562851,953,19 L,Craugastoridae,Pristimantis,gagliardi,0.2,Hoja,Atento,0.27,13.9,-,no,3Bd052,no,Una hora de lluvia moderada 16:30 - 17:50
294,RI,4,16/07/2015,3,32,500,5,19:41:00,20:05:00,19:50:00,281961.6464,8563178.282,868.532043,19 L,Craugastoridae,Pristimantis,danae,1.2,Tallo,Alerta,1.41,24.2,,,4Bd043,,
295,RI,4,16/07/2015,3,32,500,5,19:41:00,20:05:00,20:02:00,282072,8562855,832,19 L,Craugastoridae,Pristimantis,danae,1.5,Tallo,Activo,1.3,23.8,,,4Bd042,,
296,LC,2,10/5/14 00:00,10,50,150,3,19:45:00,20:25:00,21:47:00,-,-,-,-,Bufonidae,Rhinella,tacana,0,en hojarasca,caminando,2.48,33.7,0,no tiene fotos,2Bd118,no,
297,LC,2,10/5/14 00:00,10,50,150,,19:45:00,20:25:00,21:48:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Noblella,sp,10,sobre hoja,alerta,0.29,12.8,0,no tiene fotos,2Bd119,no,
298,EC,1,25/06/2014,7,49,150,3,19:46:00,20:26:00,20:25:00,-71.00847004,-12.99539404,1044.756226,19 L,Bufonidae,Rhinella,tacana,1.5,En hoja,Atento,1.87,28,,,Bd120,No colectado,
299,EC,1,25/06/2014,7,49,150,3,19:46:00,20:26:00,19:52:00,-71.00857599,-12.99534299,1037.15332,19 L,Craugastoridae,Pristimantis,danae,0.3,En tallo,Saltando,1.25,25.68,,,Bd116,No colectado,
300,EC,1,25/06/2014,7,49,150,3,19:46:00,20:26:00,20:22:00,-71.00847004,-12.99539404,1044.756226,19 L,Bufonidae,Rhinella,tacana,1.5,En hoja,Activo,1.23,27.3,,,Bd118,No colectado,
301,EC,1,25/06/2014,7,49,150,3,19:46:00,20:26:00,20:10:00,-71.00860197,-12.99536596,1037.713623,19 L,Bufonidae,Rhinella,tacana,0.8,En hoja,Activo,0.74,21.6,,,Bd121,No colectado,
302,EC,1,25/06/2014,7,49,150,3,19:46:00,20:26:00,20:23:00,-71.00847004,-12.99539404,1044.756226,19 L,Craugastoridae,Pristimantis,aff pharangobates,0.4,En hoja,Activo,0.72,21,,,Bd114,No colectado,
303,EC,1,25/06/2014,7,49,150,3,19:46:00,20:26:00,20:19:00,-71.00854204,-12.99526404,1042.391113,19 L,Bufonidae,Rhinella,tacana,2,En rama,Activo,0.64,19.32,,,Bd122,No colectado,
304,EC,1,25/06/2014,7,49,150,3,19:46:00,20:26:00,19:48:00,-71.00850399,-12.99540401,1037.516479,19 L,Bufonidae,Rhinella,tacana,1.7,En hoja,Activo,0.26,14.02,,,Bd113,No colectado,
305,EC,1,25/06/2014,7,49,150,3,19:46:00,20:26:00,19.55,-71.00853601,-12.99529999,1038.886475,19 L,Bufonidae,Rhinella,tacana,1.7,En helecho,Activo,0.23,13.92,,,Bd115,No colectado,
306,EC,1,25/06/2014,7,49,150,3,19:46:00,20:26:00,19:53:00,-71.00851203,-12.99536998,1037.276001,19 L,Bufonidae,Rhinella,tacana,0.3,En hoja,Activo,0.22,13.4,,,Bd119,No colectado,
307,EC,1,25/06/2014,7,49,150,3,19:46:00,20:26:00,19:49:00,-71.00857599,-12.99534299,1037.15332,19 L,Craugastoridae,Pristimantis,gagliardi,0.4,En hoja,Activo,0.18,12.21,,,Bd117,No colectado,
308,DR,3,2/6/15 00:00,7,29,500,5,19:46:00,20:10:00,19:56:00,28207,8562829,949,19 L,Craugastoridae,Pristimantis,danae,0.8,Tronco,Activo,3.39,35.4,-,no,3Bd152,no,Nublado con truenos
309,AB,5,15/7/2016,7,33,500,5,19:46:00,20:10:00,20:02:00,281996,8563222,895,19L,Bufonidae,Rhinella,tacana,0,Suelo,Saltando,0.97,22.2,,,5Bd116,,
310,AB,5,15/7/2016,7,33,500,5,19:46:00,20:10:00,20:02:00,281996,8563222,895,19L,Craugastoridae,Pristimantis,ockendeni,0,Suelo,Saltando,0.19,14.8,,,5Bd117,,
311,DR,3,2/6/15 00:00,7,29,500,5,19:46:00,20:10:00,20:04:00,281906,8562993,1093,19 L,Bufonidae,Rhinella,tacana,0.3,Hoja,Atento,0.18,13.8,-,no,3Bd153,no,Nublado con truenos
312,AB,5,15/7/2016,7,33,500,5,19:46:00,20:10:00,20:06:00,282151,8562978,958,19L,Craugastoridae,Pristimantis,gagliardi,0.1,Hoja,Atento,0.15,12.6,,,5Bd118,,
313,AB,5,10/7/16 00:00,3,27,500,5,19:47:00,20:11:00,20:03:00,281847,8562946,927,19L,Bufonidae,Rhinella,tacana,0,suelo,Saltando,1.63,25.7,,,5Bd040,,GPS aproximado
314,AB,5,10/7/16 00:00,3,27,500,5,19:47:00,20:11:00,19:50:00,281870,8562923,931,19L,Bufonidae,Rhinella,tacana,0.5,Hoja,Activo,1.35,24.5,,,5Bd039,,
315,AB,5,9/7/16 00:00,2,3,1000,5,19:48:00,20:12:00,20:09:00,281413,8563208,830,19L,Craugastoridae,Pristimantis,gagliardi,0.5,Hoja,Alerta,0.48,18,,,5Bd028,,GPS aproximado
316,AB,5,9/7/16 00:00,2,3,1000,5,19:48:00,20:12:00,19:56:00,281416,8563211,831,19L,Craugastoridae,Noblella,sp,0,Suelo,Saltando,0.12,9.9,,,5Bd027,,GPS aproximado
317,AB,5,9/7/16 00:00,2,3,1000,5,19:48:00,20:12:00,20:03:00,281413,8563208,830,19L,Craugastoridae,Noblella,sp,0,Suelo,Activo,0.12,10,,,5Bd029,,GPS aproximado
318,DR,3,2/9/15 00:00,10,7,1000,5,19:51:00,20:14:00,20:00:00,281561,8563439,793,19 L,Craugastoridae,Pristimantis,gagliardi,1.2,Hoja,Alerta,0.38,15.8,-,no,3Bd202,no,Garua
319,DR,3,2/9/15 00:00,10,7,1000,5,19:51:00,20:14:00,20:09:00,281542,8563438,796,19 L,Craugastoridae,Pristimantis,ockendeni,0.1,Hoja,Atento,0.03,7.6,-,no,3Bd201,no,Garua
320,LC,2,27/09/2014,2,37,250,,19:55:00,20:35:00,20:20:00,8562757,282025,960,19L,Bufonidae,Rhinella,tacana,70,sobre hoja,cantando,2.05,29.7,0,no tiene fotos,2Bd019,no,
321,LC,2,27/09/2014,2,37,250,,19:55:00,20:35:00,20:14:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,danae,200,sobre tallo de una liana,cantando,1.55,25.1,0,no tiene fotos,2Bd021,no,
322,LC,2,27/09/2014,2,37,250,,19:55:00,20:35:00,20:15:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,danae,130,sobre rama de un arbol delgado,cantando,1.55,25.7,0,no tiene fotos,2Bd020,no,
323,LC,2,27/09/2014,2,37,250,3,19:55:00,20:35:00,20:05:00,8562754,282018,965,19L,Bufonidae,Rhinella,tacana,10,sobre hoja,cantando,1.2,23.3,0,no tiene fotos,2Bd018,no,
324,LC,2,27/09/2014,2,37,250,,19:55:00,20:35:00,20:17:00,-,-,-,-,Bufonidae,Rhinella,tacana,150,sobre hoja de una trepadora,activo,0.75,18.8,0,no tiene fotos,2Bd022,no,
325,LC,2,26/09/2014,1,2,1000,,20:00:00,20:40:00,20:15:00,8536552,316960,574,19L,Leptodactylidae,Adenomera,andreae,0,en hojarasca,activo,na,na,,no tiene fotos,no,no,Escapo
326,LC,2,26/09/2014,1,2,1000,,20:00:00,20:40:00,20:30:00,8536788,317490,560,19L,Bufonidae,Rhinella,tacana,70,sobre hoja,activo,1.9,26.9,0,no tiene fotos,2Bd007,no,
327,LC,2,26/09/2014,1,2,1000,,20:00:00,20:40:00,20:20:00,8536837,317366,564,19L,Craugastoridae,Pristimantis,danae,170,sobre hoja,cantando,1.6,24,0,no tiene fotos,2Bd006,no,
328,LC,2,26/09/2014,1,2,1000,,20:00:00,20:40:00,20:07:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,ockendeni,200,sobre hoja ancha de un arbol,en amplexus,1.3,24.1,0,no tiene fotos,2Bd005,no,
329,EC,1,29/06/2014,11,61,50,3,20:00:00,20:40:00,20:40:00,-71.00764099,-12.99582898,1055.528809,19 L,Craugastoridae,Pristimantis,danae,0,En hojarasca,Saltando,1.25,25.98,,,Bd177,No colectado,
330,LC,2,26/09/2014,1,2,1000,3,20:00:00,20:40:00,20:05:00,8536437,316314,584,19L,Phyllomedusidae,Callimedusa,tomopterna,250,sobre rama de un arbol delgado,activo,0.85,27.6,0,29-58,2bd003,154349,
331,EC,1,29/06/2014,11,61,50,3,20:00:00,20:40:00,20:17:00,-71.00775104,-12.99580601,1049.634766,19 L,Craugastoridae,Pristimantis,gagliardi,0,En hojarasca,Saltando,0.48,18.1,,,Bd179,No colectado,Cerca al punto GPS
332,EC,1,26/06/2014,8,39,250,3,20:00:00,20:40:00,20:05:00,-71.00971802,-12.99321097,976.963135,19 L,Craugastoridae,Pristimantis,gagliardi,1.1,En hoja,Activo,0.44,18.28,,,Bd145,No colectado,
333,LC,2,26/09/2014,1,2,1000,,20:00:00,20:40:00,20:07:00,desconocido,desconocido,desconocido,19L,Craugastoridae,Pristimantis,ockendeni,200,sobre hoja ancha de un arbol,en amplexus,0.4,15.9,0,no tiene fotos,2Bd004,no,
334,EC,1,29/06/2014,11,61,50,3,20:00:00,20:40:00,20:18:00,-71.00749296,-12.99609996,1055.23645,19 L,Bufonidae,Rhinella,tacana,0.5,En hoja,Saltando,0.29,15,,,Bd178,No colectado,Juvenil
335,EC,1,29/06/2014,11,61,50,3,20:00:00,20:40:00,20:12:00,-71.00751299,-12.99621496,1045.661255,19 L,Craugastoridae,Pristimantis,gagliardi,0,En hojarasca,Sentado,0.17,12.25,,,Bd180,No colectado,Cerca al punto GPS
336,EC,1,26/06/2014,8,39,250,3,20:00:00,20:40:00,20:17:00,-71.00970604,-12.99320402,960.96228,19 L,Craugastoridae,Pristimantis,aff pharangobates,0,En el suelo,Saltando,,,,,,No colectado,"Se escapo, Cerca al punto GPS"
337,DR,3,2/4/15 00:00,5,33,500,4,20:00:00,20:30:00,20:04:00,282009,8563210,1055,19 L,Bufonidae,Rhinella,tacana,1.3,Hoja,Activo,0.26,15.2,-,no,3Bd084,no,
338,DR,3,2/4/15 00:00,5,33,500,4,20:00:00,20:30:00,20:12:00,281999,8563226,890,19 L,Craugastoridae,Pristimantis,gagliardi,1.5,Hoja,Atento,0.18,12.2,-,no,3Bd085,154427,
339,DR,3,2/2/15 00:00,3,9,1000,5,20:00:00,20:24:00,20:01:00,281647,8563561,801,19 L,Craugastoridae,Pristimantis,danae,0.5,Hoja,Atento,na,11.3,-,,3Bd026,no,"Luna llena, la balanza no funciono"
340,DR,3,2/2/15 00:00,3,9,1000,5,20:00:00,20:24:00,20:20:00,281637,8563526,810,19 L,Bufonidae,Rhinella,gr margaritifera,0.3,Hoja,Alerta,1.15,25,-,,3Bd025,no,Luna llena
341,EC,1,20/06/2014,3,28,500,3,20:02:00,20:42:00,20:35:00,-71.01079199,-12.99167499,929.92804,19 L,Craugastoridae,Pristimantis,gagliardi,0.2,En hoja,Esperando,0.39,18.5,,,Bd032,No colectado,
342,AB,5,12/7/16 00:00,5,6,1000,6,20:03:00,20:23:00,20:18:00,281491,8563378,819,19L,Craugastoridae,Noblella,sp,0,Suelo,Activo,0.1,8.4,,,5Bd070,,GPS aproximado
343,DR,3,2/5/15 00:00,6,4,1000,4,20:06:00,20:36:00,20:28:00,281473,8563275,1077,19 L,Bufonidae,Rhinella,gr margaritifera,0.6,Hoja,Alerta,1.5,26.4,-,no,3Bd117,no,
344,DR,3,2/5/15 00:00,6,4,1000,4,20:06:00,20:36:00,20:14:00,281464,8563258,1075,19 L,Craugastoridae,Pristimantis,danae,0.2,Hoja,Atento,0.91,11.9,-,no,3Bd118,no,
345,DR,3,2/5/15 00:00,6,4,1000,4,20:06:00,20:36:00,20:21:00,281459,8563262,1076,19 L,Craugastoridae,Pristimantis,ockendeni,0.7,Hoja,Activo,0.14,10.5,-,no,3Bd115,no,
346,DR,3,2/5/15 00:00,6,4,1000,4,20:06:00,20:36:00,20:29:00,281469,8563276,1078,19 L,Craugastoridae,Pristimantis,ockendeni,0.6,Hoja,Alerta,0.08,9.8,-,no,3Bd116,no,
347,EC,1,24/06/2014,6,3,1000,3,20:09:00,20:49:00,20:22:00,-71.01495403,-12.98886001,832.74231,19 L,Bufonidae,Rhinella,tacana,2,En hoja,Saltando,1.98,34.28,,,Bd093,No colectado,Cerca al punto GPS
348,EC,1,24/06/2014,6,3,1000,3,20:09:00,20:49:00,20:40:00,-71.01510004,-12.988987,833.781311,19 L,Bufonidae,Rhinella,tacana,0.2,En hoja,Atento,0.56,19.2,,,Bd097,No colectado,
349,EC,1,24/06/2014,6,3,1000,3,20:09:00,20:49:00,20:23:00,-71.01508504,-12.98904198,831.433289,19 L,Craugastoridae,Pristimantis,ockendeni,0.4,En hoja,Activo,0.45,20.35,,,Bd096,No colectado,
350,EC,1,24/06/2014,6,3,1000,3,20:09:00,20:49:00,20:31:00,-71.01521797,-12.98898197,833.100037,19 L,Bufonidae,Rhinella,tacana,0,En el suelo,Saltando,0.44,18.55,,,Bd098,No colectado,
351,EC,1,24/06/2014,6,3,1000,3,20:09:00,20:49:00,20:36:00,-71.01511303,-12.98902698,833.501282,19 L,Bufonidae,Rhinella,tacana,0.15,En hoja,Atento,0.34,19.12,,,Bd092,No colectado,OOOO
352,EC,1,24/06/2014,6,3,1000,3,20:09:00,20:49:00,20:29:00,-71.01521797,-12.98898197,833.100037,19 L,Bufonidae,Rhinella,tacana,0.8,En hoja de trepadora,Atento,0.18,15,,,Bd095,No colectado,
