,Phase,Phase #,Date,Day,Plot,Distance,# Evaluators,Start Time,End Time,Encounter time,Long E,Lat (N),Height,Zone,Family,Genus,Species,Location (m),Location Type,Behavior,Mass,Body Length,Tail Length,Photo Code,Hyssop Code,Capture Code,Additional Obs
43,DR,3,2/3/15 00:00,3,65,50,4,00:33:00,01:03:00,00:40:00,282227,8562722,998,19 L,Centrolenidae,Cochranella,nola,1.3,Hoja,Alerta,0.85,23.2,-,no,3Bd040,no,Parcialmente nublado
44,DR,3,2/3/15 00:00,3,65,50,4,00:33:00,01:03:00,00:54:00,282234,8562707,1037,19 L,Bufonidae,Rhinella,tacana,0.5,Hoja,Activo,0.35,16.2,-,no,3bD041,no,Parcialmente nublado
45,DR,3,2/3/15 00:00,3,65,50,4,00:33:00,01:03:00,00:39:00,-,-,-,-,Craugastoridae,Pristimantis,danae,0.1,Hoja,Activo,0.3,18.5,-,no,3Bd039,no,Parcialmente nublado
46,EC,1,30/06/2014,12,69,50,3,00:40:00,01:20:00,01:00:00,-71.00630298,-12.99250698,994.404907,19 L,Craugastoridae,Pristimantis,danae,0,En hojarasca,Saltando,1.39,26.8,,,Bd226,No colectado,Entre p69-3 y p69-4
47,EC,1,30/06/2014,12,69,50,3,00:40:00,01:20:00,01:04:00,-71.00630298,-12.99250698,994.404907,19 L,Leptodactylidae,Adenomera,andreae,0,En hojarasca,Saltando,0.58,17.25,,,Bd229,No colectado,Normal sin lineas
48,EC,1,30/06/2014,12,69,50,3,00:40:00,01:20:00,00:51:00,-71.006033,-12.99258401,994.196533,19 L,Craugastoridae,Pristimantis,aff pharangobates,0,En hojarasca,Saltando,0.39,17.48,,,Bd230,No colectado,Cerca al punto GPS
49,EC,1,30/06/2014,12,69,50,3,00:40:00,01:20:00,00:49:00,-71.006033,-12.99258401,994.196533,19 L,Craugastoridae,Pristimantis,gagliardi,0,En hojarasca,Saltando,0.27,14.9,,,Bd227,No colectado,Cerca al punto GPS
50,EC,1,30/06/2014,12,69,50,3,00:40:00,01:20:00,00:45:00,-71.006033,-12.99258401,994.196533,19 L,Craugastoridae,Noblella,sp,0,En hojarasca,Saltando,0.17,11.18,,,Bd228,No colectado,Cerca al punto GPS
51,RI,4,15/07/2015,1,54,150,4,00:50:00,01:20:00,01:10:00,282189.4896,8562809.934,988.038147,19 L,Craugastoridae,Noblella,sp,0,Hojarasca,Saltando,0.27,12.1,,,4Bd029,,
52,AB,5,9/7/16 00:00,1,68,50,4,00:58:00,01:28:00,01:05:00,282067,8562836,950,19L,Hylidae,Osteocephalus,mimeticus,2,rama,Activo,3.66,45,,4415-4418,5Bd021,22255,
53,AB,5,9/7/16 00:00,1,68,50,4,00:58:00,01:28:00,01:20:00,282364,8562850,1003,19L,Centrolenidae,Cochranella,nola,1.5,Hoja,Activo,1.11,26.1,,,5Bd019,,
54,AB,5,9/7/16 00:00,1,68,50,4,00:58:00,01:28:00,01:21:00,282334,8562854,1001,19L,Plethodontidae,Bolitoglossa,cf altamazonica,0.5,Tronco,Activo,0.96,39.8,"29,8",4428-4444,5Bd022,22265,
55,AB,5,9/7/16 00:00,1,68,50,4,00:58:00,01:28:00,01:28:00,282332,8562866,997,19L,Leptodactylidae,Adenomera,andreae,0,Suelo,Activo,0.72,29.3,,,5Bd018,,
56,AB,5,9/7/16 00:00,1,68,50,4,00:58:00,01:28:00,01:27:00,282338,8562861,997,19L,Craugastoridae,Noblella,sp,0,Suelo,Saltando,0.05,10,,4385-4407,5Bd020,22258,
57,EC,1,28/06/2014,10,66,50,3,01:00:00,01:40:00,,-,-,-,-,Hylidae,Hypsiboas,sp nov,0,,,6.55,43.1,,,Bd174,No colectado,Macho / Datos JC
58,EC,1,28/06/2014,10,66,50,3,01:00:00,01:40:00,,-,-,-,-,Bufonidae,Rhinella,tacana,1.5,En hoja,Activo,0.37,16,,,Bd175,No colectado,Datos JC
