,Phase,Phase #,Date,Day,Plot,Distance,# Evaluators,Start Time,End Time,Encounter time,Long E,Lat (N),Height,Zone,Family,Genus,Species,Location (m),Location Type,Behavior,Mass,Body Length,Tail Length,Photo Code,Hyssop Code,Capture Code,Additional Obs,Year,Month,Date2,OPE,Rain,S_fuel,S_hour,S_hr/pp,S_peeps,flights,Temp,Hum,Luna,Elev
34,AB,5,2016-07-13,5,55,150,6.0,00:26:00,00:46:00,00:36:00,281896.0,8562940.0,920.0,19L,Craugastoridae,Pristimantis,danae,0.5,hoja,alerta,0.63,20.8,,,5Bd078,,,2016,7,13,2.0,2.2,180.0,0.0,0.0,99.0,0.0,21.0,,0.61,965.75
35,AB,5,2016-07-13,5,55,150,6.0,00:26:00,00:46:00,00:37:00,282227.0,8562894.0,974.0,19L,Leptodactylidae,Adenomera,andreae,0.0,suelo,saltando,0.53,18.9,,,5Bd080,,,2016,7,13,2.0,2.2,180.0,0.0,0.0,99.0,0.0,21.0,,0.61,965.75
36,DR,3,2015-02-06,6,69,50,4.0,00:30:00,01:00:00,00:41:00,282409.0,8562816.0,1017.0,19L,Bufonidae,Rhinella,tacana,1.1,hoja,activo,3.38,32.8,,,3Bd133,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,1029.0
37,DR,3,2015-02-06,6,69,50,4.0,00:30:00,01:00:00,00:54:00,,,,,Craugastoridae,Oreobates,amarakaeri,0.0,suelo,saltando,2.09,29.3,,,3Bd135,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,1029.0
38,DR,3,2015-02-06,6,69,50,4.0,00:30:00,01:00:00,00:47:00,282401.0,8562827.0,1015.0,19L,Craugastoridae,Pristimantis,danae,0.0,hojarasca,saltando,0.79,23.4,,,3Bd134,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,1029.0
39,DR,3,2015-02-06,6,69,50,4.0,00:30:00,01:00:00,00:46:00,282350.0,8562861.0,1088.0,19L,Craugastoridae,Noblella,sp,0.1,hoja,activo,0.15,11.2,,,3Bd138,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,1029.0
40,DR,3,2015-02-06,6,69,50,4.0,00:30:00,01:00:00,00:46:00,282404.0,8562829.0,1086.0,19L,Craugastoridae,Pristimantis,danae,0.8,hoja,activo,0.12,10.9,,,3Bd136,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,1029.0
41,DR,3,2015-02-06,6,69,50,4.0,00:30:00,01:00:00,00:54:00,282388.0,8562813.0,1087.0,19L,Craugastoridae,Pristimantis,aff pharangobates,0.5,musgo,alerta,0.05,11.0,,,3Bd137,,Presencia de neblina ,2015,2,6,7.0,0.0,140.0,870.0,13.80952380952381,63.0,2.0,21.0,100.0,0.96,1029.0
42,DR,3,2015-02-03,3,65,50,4.0,00:33:00,01:03:00,00:50:00,282249.0,8562714.0,1004.0,19L,Bufonidae,Rhinella,tacana,0.4,tubo,alerta,2.65,32.4,,,3Bd038,,Parcialmente nublado,2015,2,3,8.0,0.5,280.0,910.0,13.582089552238806,67.0,15.0,20.0,94.0,0.99,1001.75
43,DR,3,2015-02-03,3,65,50,4.0,00:33:00,01:03:00,00:40:00,282227.0,8562722.0,998.0,19L,Centrolenidae,Cochranella,nola,1.3,hoja,alerta,0.85,23.2,,,3Bd040,,Parcialmente nublado,2015,2,3,8.0,0.5,280.0,910.0,13.582089552238806,67.0,15.0,20.0,94.0,0.99,1001.75
